article,token,ann1,ann2,diff,final,
2016-42-3-391-419,From,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,perspective,O,O,F,O,
2016-42-3-391-419,of,O,O,F,O,
2016-42-3-391-419,structural,B,B,F,B,
2016-42-3-391-419,linguistics,I,I,F,I,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,we,O,O,F,O,
2016-42-3-391-419,explore,O,O,F,O,
2016-42-3-391-419,paradigmatic,B,B,F,B,
2016-42-3-391-419,and,I,O,T,O,
2016-42-3-391-419,syntagmatic,I,B,T,B,
2016-42-3-391-419,lexical,I,I,F,I,
2016-42-3-391-419,relations,I,I,F,I,
2016-42-3-391-419,for,O,O,F,O,
2016-42-3-391-419,Chinese,O,O,F,O,
2016-42-3-391-419,POS,B,B,F,B,
2016-42-3-391-419,tagging,I,I,F,I,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,an,O,O,F,O,
2016-42-3-391-419,important,O,O,F,O,
2016-42-3-391-419,and,O,O,F,O,
2016-42-3-391-419,challenging,O,O,F,O,
2016-42-3-391-419,task,O,O,F,O,
2016-42-3-391-419,for,O,O,F,O,
2016-42-3-391-419,Chinese,O,O,F,O,
2016-42-3-391-419,language,B,B,F,B,
2016-42-3-391-419,processing,I,I,F,I,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Paradigmatic,B,B,F,B,
2016-42-3-391-419,lexical,I,I,F,I,
2016-42-3-391-419,relations,I,I,F,I,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,explicitly,B,O,T,O,
2016-42-3-391-419,captured,I,O,T,O,
2016-42-3-391-419,by,O,O,F,O,
2016-42-3-391-419,word,B,O,T,B,
2016-42-3-391-419,clustering,I,O,T,I,
2016-42-3-391-419,on,O,O,F,O,
2016-42-3-391-419,large,B,O,T,B,
2016-42-3-391-419,-,I,O,T,I,
2016-42-3-391-419,scale,I,O,T,I,
2016-42-3-391-419,unlabeled,I,B,T,I,
2016-42-3-391-419,data,I,I,F,I,
2016-42-3-391-419,and,O,O,F,O,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,used,O,O,F,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,design,O,O,F,O,
2016-42-3-391-419,new,O,O,F,O,
2016-42-3-391-419,features,B,O,T,O,
2016-42-3-391-419,to,O,O,F,O,
2016-42-3-391-419,enhance,O,O,F,O,
2016-42-3-391-419,a,O,O,F,O,
2016-42-3-391-419,discriminative,B,B,F,B,
2016-42-3-391-419,tagger,I,I,F,I,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Syntagmatic,B,B,F,B,
2016-42-3-391-419,lexical,I,I,F,I,
2016-42-3-391-419,relations,I,I,F,I,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,implicitly,B,O,T,O,
2016-42-3-391-419,captured,I,O,T,O,
2016-42-3-391-419,by,O,O,F,O,
2016-42-3-391-419,syntactic,B,B,F,B,
2016-42-3-391-419,parsing,I,I,F,I,
2016-42-3-391-419,in,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,constituency,B,B,F,B,
2016-42-3-391-419,formalism,I,I,F,I,
2016-42-3-391-419,",",O,O,F,O,
2016-42-3-391-419,and,O,O,F,O,
2016-42-3-391-419,are,O,O,F,O,
2016-42-3-391-419,utilized,O,O,F,O,
2016-42-3-391-419,via,O,O,F,O,
2016-42-3-391-419,system,B,O,T,O,
2016-42-3-391-419,combination,I,O,T,O,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Experiments,O,O,F,O,
2016-42-3-391-419,on,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,Penn,B,B,F,B,
2016-42-3-391-419,Chinese,I,I,F,I,
2016-42-3-391-419,Treebank,I,I,F,I,
2016-42-3-391-419,demonstrate,O,O,F,O,
2016-42-3-391-419,the,O,O,F,O,
2016-42-3-391-419,importance,O,O,F,O,
2016-42-3-391-419,of,O,O,F,O,
2016-42-3-391-419,both,O,O,F,O,
2016-42-3-391-419,paradigmatic,B,B,F,B,
2016-42-3-391-419,and,I,O,T,I,
2016-42-3-391-419,syntagmatic,I,B,T,I,
2016-42-3-391-419,relations,I,I,F,I,
2016-42-3-391-419,.,O,O,F,O,
2016-42-3-391-419,Our,O,O,F,O,
2016-42-3-391-419,linguistically,B,B,F,B,
2016-42-3-391-419,motivated,I,O,T,O,
2016-42-3-391-419,",",I,O,T,O,
2016-42-3-391-419,hybrid,I,O,T,O,
2016-42-3-391-419,approaches,I,O,T,O,
2016-42-3-391-419,yield,O,O,F,O,
2016-42-3-391-419,a,O,O,F,O,
2016-42-3-391-419,relative,B,O,T,O,
2016-42-3-391-419,error,I,O,T,O,
2016-42-3-391-419,reduction,I,O,T,O,
2016-42-3-391-419,of,O,O,F,O,
2016-42-3-391-419,18,O,O,F,O,
2016-42-3-391-419,%,O,O,F,O,
2016-42-3-391-419,in,O,O,F,O,
2016-42-3-391-419,total,O,O,F,O,
2016-42-3-391-419,over,O,O,F,O,
